Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
124, 2.06667, 2.05908, 7.55476, 47.577, -13.9932, 49.8283, 167.033, 0.0180995, -19.003, 1.06897, 107.75, 1.08601, -72.1025
125, 2.07500, 2.0703, 7.2486, 47.7784, -13.9711, 50.0445, 167.063, 0.0181789, -18.8439, 1.07032, 107.674, 1.08747, -72.1771
125, 2.08333, 2.08154, 6.94175, 47.9807, -13.95, 50.2617, 167.092, 0.0182595, -18.6857, 1.07168, 107.597, 1.08893, -72.2519
126, 2.09167, 2.09283, 6.63417, 48.1839, -13.9297, 50.48, 167.12, 0.0183411, -18.5281, 1.07305, 107.521, 1.09041, -72.327
126, 2.10000, 2.10414, 6.32593, 48.3879, -13.9104, 50.6993, 167.147, 0.0184239, -18.3715, 1.07443, 107.443, 1.09189, -72.4024
126, 2.10833, 2.11549, 6.01699, 48.5928, -13.8919, 50.9197, 167.173, 0.0185079, -18.2157, 1.07582, 107.366, 1.09339, -72.478
127, 2.11667, 2.12688, 5.70728, 48.7986, -13.8743, 51.1412, 167.199, 0.018593, -18.0608, 1.07721, 107.288, 1.09489, -72.5539
128, 2.12500, 2.13829, 5.3969, 49.0052, -13.8577, 51.3638, 167.223, 0.0186792, -17.9069, 1.07861, 107.21, 1.0964, -72.6301
128, 2.13333, 2.14973, 5.08577, 49.2127, -13.8419, 51.5874, 167.247, 0.0187667, -17.754, 1.08002, 107.132, 1.09793, -72.7066
129, 2.14167, 2.16121, 4.77388, 49.4211, -13.8269, 51.8121, 167.27, 0.0188554, -17.6021, 1.08144, 107.054, 1.09946, -72.7834
129, 2.15000, 2.17271, 4.46127, 49.6304, -13.8129, 52.038, 167.292, 0.0189452, -17.4514, 1.08287, 106.975, 1.10101, -72.8604
129, 2.15833, 2.18425, 4.14791, 49.8406, -13.7998, 52.2649, 167.314, 0.0190364, -17.3019, 1.08431, 106.896, 1.10256, -72.9378
130, 2.16667, 2.19581, 3.83376, 50.0516, -13.7875, 52.493, 167.334, 0.0191287, -17.1536, 1.08575, 106.816, 1.10413, -73.0154
131, 2.17500, 2.20739, 3.51888, 50.2636, -13.7761, 52.7222, 167.354, 0.0192223, -17.0066, 1.08721, 106.737, 1.10571, -73.0934
131, 2.18333, 2.219, 3.20324, 50.4764, -13.7656, 52.9525, 167.373, 0.0193172, -16.8609, 1.08867, 106.657, 1.10729, -73.1716
132, 2.19167, 2.23064, 2.88678, 50.6902, -13.7559, 53.184, 167.391, 0.0194134, -16.7165, 1.09014, 106.576, 1.10889, -73.2502
