,harmonico,amplitude,angulo
886,8.383333,100,0
887,8.391667,100,0
888,8.4,100,0
889,8.408333,100,0
890,8.416667,100,0
891,8.425,100,0
892,8.433333,100,0
893,8.441667,100,0
894,8.45,100,0
895,8.458333,100,0
896,8.466667,100,0
897,8.475,100,0
898,8.483333,100,0
899,8.491667,100,0
900,8.5,100,0
901,8.508333,100,0
902,8.516667,100,0
903,8.525,100,0
904,8.533333,100,0
905,8.541667,100,0
906,8.55,100,0
907,8.558333,100,0
908,8.566667,100,0
909,8.575,100,0
910,8.583333,100,0
911,8.591667,100,0
912,8.6,100,0
913,8.608333,100,0
914,8.616667,100,0
915,8.625,100,0
916,8.633333,100,0
917,8.641667,100,0
918,8.65,100,0
919,8.658333,100,0
920,8.666667,100,0
921,8.675,100,0
922,8.683333,100,0
923,8.691667,100,0
924,8.7,100,0
925,8.708333,100,0
926,8.716667,100,0
927,8.725,100,0
928,8.733333,100,0
929,8.741667,100,0
930,8.75,100,0
931,8.758333,100,0
932,8.766667,100,0
933,8.775,100,0
934,8.783333,100,0
935,8.791667,100,0
936,8.8,100,0
937,8.808333,100,0
938,8.816667,100,0
939,8.825,100,0
940,8.833333,100,0
941,8.841667,100,0
942,8.85,100,0
943,8.858333,100,0
944,8.866667,100,0
945,8.875,100,0
946,8.883333,100,0
947,8.891667,100,0
948,8.9,100,0
949,8.908333,100,0
950,8.916667,100,0
951,8.925,100,0
952,8.933333,100,0
953,8.941667,100,0
954,8.95,100,0
955,8.958333,100,0
956,8.966667,100,0
957,8.975,100,0
958,8.983333,100,0
959,8.991667,100,0
960,9.0,100,0
961,9.008333,100,0
962,9.016667,100,0
963,9.025,100,0
964,9.033333,100,0
965,9.041667,100,0
966,9.05,100,0
967,9.058333,100,0
968,9.066667,100,0
969,9.075,100,0
970,9.083333,100,0
971,9.091667,100,0
972,9.1,100,0
973,9.108333,100,0
974,9.116667,100,0
975,9.125,100,0
976,9.133333,100,0
977,9.141667,100,0
978,9.15,100,0
979,9.158333,100,0
980,9.166667,100,0
981,9.175,100,0
982,9.183333,100,0
983,9.191667,100,0
984,9.2,100,0
985,9.208333,100,0
986,9.216667,100,0
987,9.225,100,0
988,9.233333,100,0
989,9.241667,100,0
990,9.25,100,0
991,9.258333,100,0
992,9.266667,100,0
993,9.275,100,0
994,9.283333,100,0
995,9.291667,100,0
996,9.3,100,0
997,9.308333,100,0
998,9.316667,100,0
999,9.325,100,0
1000,9.333333,100,0
1001,9.341667,100,0
1002,9.35,100,0
1003,9.358333,100,0
1004,9.366667,100,0
1005,9.375,100,0
1006,9.383333,100,0
1007,9.391667,100,0
1008,9.4,100,0
1009,9.408333,100,0
1010,9.416667,100,0
1011,9.425,100,0
1012,9.433333,100,0
1013,9.441667,100,0
1014,9.45,100,0
1015,9.458333,100,0
1016,9.466667,100,0
1017,9.475,100,0
1018,9.483333,100,0
1019,9.491667,100,0
1020,9.5,100,0
1021,9.508333,100,0
1022,9.516667,100,0
1023,9.525,100,0
1024,9.533333,100,0
1025,9.541667,100,0
1026,9.55,100,0
1027,9.558333,100,0
1028,9.566667,100,0
1029,9.575,100,0
1030,9.583333,100,0
1031,9.591667,100,0
1032,9.6,100,0
1033,9.608333,100,0
1034,9.616667,100,0
1035,9.625,100,0
1036,9.633333,100,0
1037,9.641667,100,0
1038,9.65,100,0
1039,9.658333,100,0
1040,9.666667,100,0
1041,9.675,100,0
1042,9.683333,100,0
1043,9.691667,100,0
1044,9.7,100,0
1045,9.708333,100,0
1046,9.716667,100,0
1047,9.725,100,0
1048,9.733333,100,0
1049,9.741667,100,0
1050,9.75,100,0
1051,9.758333,100,0
1052,9.766667,100,0
1053,9.775,100,0
1054,9.783333,100,0
1055,9.791667,100,0
1056,9.8,100,0
1057,9.808333,100,0
1058,9.816667,100,0
1059,9.825,100,0
1060,9.833333,100,0
1061,9.841667,100,0
1062,9.85,100,0
1063,9.858333,100,0
1064,9.866667,100,0
1065,9.875,100,0
1066,9.883333,100,0
1067,9.891667,100,0
1068,9.9,100,0
1069,9.908333,100,0
1070,9.916667,100,0
1071,9.925,100,0
1072,9.933333,100,0
1073,9.941667,100,0
1074,9.95,100,0
1075,9.958333,100,0
1076,9.966667,100,0
1077,9.975,100,0
1078,9.983333,100,0
1079,9.991667,100,0
1080,10.0,100,0
1081,10.008333,100,0
1082,10.016667,100,0
1083,10.025,100,0
1084,10.033333,100,0
1085,10.041667,100,0
1086,10.05,100,0
1087,10.058333,100,0
1088,10.066667,100,0
1089,10.075,100,0
1090,10.083333,100,0
1091,10.091667,100,0
1092,10.1,100,0
1093,10.108333,100,0
1094,10.116667,100,0
1095,10.125,100,0
1096,10.133333,100,0
1097,10.141667,100,0
1098,10.15,100,0
1099,10.158333,100,0
1100,10.166667,100,0
1101,10.175,100,0
1102,10.183333,100,0
1103,10.191667,100,0
1104,10.2,100,0
1105,10.208333,100,0
1106,10.216667,100,0
1107,10.225,100,0
1108,10.233333,100,0
1109,10.241667,100,0
1110,10.25,100,0
1111,10.258333,100,0
1112,10.266667,100,0
1113,10.275,100,0
1114,10.283333,100,0
1115,10.291667,100,0
1116,10.3,100,0
1117,10.308333,100,0
1118,10.316667,100,0
1119,10.325,100,0
1120,10.333333,100,0
1121,10.341667,100,0
1122,10.35,100,0
1123,10.358333,100,0
1124,10.366667,100,0
1125,10.375,100,0
1126,10.383333,100,0
1127,10.391667,100,0
1128,10.4,100,0
1129,10.408333,100,0
1130,10.416667,100,0
1131,10.425,100,0
1132,10.433333,100,0
1133,10.441667,100,0
1134,10.45,100,0
1135,10.458333,100,0
1136,10.466667,100,0
1137,10.475,100,0
1138,10.483333,100,0
1139,10.491667,100,0
1140,10.5,100,0
1141,10.508333,100,0
1142,10.516667,100,0
1143,10.525,100,0
1144,10.533333,100,0
1145,10.541667,100,0
1146,10.55,100,0
1147,10.558333,100,0
1148,10.566667,100,0
1149,10.575,100,0
1150,10.583333,100,0
1151,10.591667,100,0
1152,10.6,100,0
1153,10.608333,100,0
1154,10.616667,100,0
1155,10.625,100,0
1156,10.633333,100,0
1157,10.641667,100,0
1158,10.65,100,0
1159,10.658333,100,0
1160,10.666667,100,0
1161,10.675,100,0
1162,10.683333,100,0
1163,10.691667,100,0
1164,10.7,100,0
1165,10.708333,100,0
1166,10.716667,100,0
1167,10.725,100,0
1168,10.733333,100,0
1169,10.741667,100,0
1170,10.75,100,0
1171,10.758333,100,0
1172,10.766667,100,0
1173,10.775,100,0
1174,10.783333,100,0
1175,10.791667,100,0
1176,10.8,100,0
1177,10.808333,100,0
1178,10.816667,100,0
1179,10.825,100,0
1180,10.833333,100,0
1181,10.841667,100,0
1182,10.85,100,0
1183,10.858333,100,0
1184,10.866667,100,0
1185,10.875,100,0
1186,10.883333,100,0
